id,char1,char2,char3,char4,example,mean,py1,py2,py3,py4,pytone1,pytone2,pytone3,pytone4,source
1801,寸,草,春,晖,,寸草：小草；春晖：春天的阳光。小草微薄的心意报答不了春日阳光的深情。比喻父母的恩情，难报万一。,cun,cao,chun,hui,cùn,cǎo,chūn,huī,唐·孟郊《游子吟》诗：“谁言寸草心，报得三春晖。”
1802,寸,地,尺,天,,指一小块土地和天空。,cun,di,chi,tian,cùn,dì,chǐ,tiān,唐·杜甫《洗兵马》：“寸地尽天皆入贡，奇祥异端争来送。”
1803,寸,进,尺,退,,前进一寸，后退一尺。指得到的少而失去的多，即得不偿失。,cun,jin,chi,tui,cùn,jìn,chǐ,tuì,《老子》第六十九章：“不敢进寸而退尺。”  唐·韩愈《上兵部李侍郎书》：“寸进尺退，卒无所成。”
1804,寸,利,必,得,,寸利：微小的利益。微小的利益也必须得到，不能放弃。形容斤斤计较个人的得失。,cun,li,bi,de,cùn,lì,bì,dé,
1805,寸,量,铢,称,,论寸来量，论铢来称。比喻点点滴滴地计量，烦琐不切实用。,cun,liang,zhu,cheng,cùn,liáng,zhū,chēng,宋·苏洵《史论下》：“欲寸量铢称，以摘其失，则烦不可举。”
1806,寸,木,岑,楼,,一寸长的木材同尖顶的高楼比。原意是起点不同就比不出高低，比喻轻重相比必须标准一样。后也比喻差距极大。,cun,mu,cen,lou,cùn,mù,cén,lóu,《孟子·告子下》：“不揣其本而齐其末，方寸之木可使高于岑楼。”
1807,寸,男,尺,女,夫妻两口，为人疏财仗义，好善乐施，广有田庄地宅，只是～并无。（明·凌濛初《初刻拍案惊奇》卷三十三）,一男半女。,cun,nan,chi,nv,cùn,nán,chǐ,nǚ,元·无名氏《合同文字》一折：“自家潞州高平县下马村人氏，姓张名秉彝，浑家郭氏，嫡亲两口儿家属，寸男尺女皆无。”
1808,寸,丝,半,粟,儿子不能掐得～孝敬父亲，倒要破费了父亲产业，实在不可自比于人，心里愧恨之极！（清·吴敬梓《儒林外史》第四十回）,比喻极微小的东西。,cun,si,ban,su,cùn,sī,bàn,sù,
1809,寸,丝,不,挂,热甚，～，故不敢出门。（明李贽《焚书·答陆思山》）,原为佛家语，比喻心中无所牵挂。后多指赤身裸体。,cun,si,bu,gua,cùn,sī,bù,guà,宋·释道元《景德传灯录》卷八：“师便问：‘大夫十二时中作么生？’陆云：‘寸丝不挂。’”
1810,寸,田,尺,宅,,比喻微薄的资产。,cun,tian,chi,zhai,cùn,tián,chǐ,zhái,宋·苏轼《游罗浮山一首示儿子过》诗：“玉堂金马久流落，寸田尺宅今谁耕。”
1811,寸,铁,杀,人,,一寸长的短兵器即可以杀人。比喻事物主要是在于精而不是在于多。,cun,tie,sha,ren,cùn,tiě,shā,rén,宋·罗大经《鹤林玉露》卷七：“譬如人载一车兵器，弄了一件，又取出一件来弄，便不是杀人手段。我则只有一寸长的短兵器即可以杀人。”
1812,寸,铁,在,手,,寸铁：很短的兵器。手里拿着一件短小的兵器。,cun,tie,zai,shou,cùn,tiě,zāi,shǒu,元·无名氏《衣袄车》第一折：“自幼学成十八般武艺，寸铁在手，有万夫不当之勇。”
1813,寸,土,必,争,我们是针锋相对，～，绝不让国民党轻轻易易地占我们的地方，杀我们的人。（毛泽东《抗日战争胜利后的时局和我们的方针》）,即使是一点点土地，也要和敌人争夺。形容对敌斗争毫不退让。,cun,tu,bi,zheng,cùn,tǔ,bì,zhēng,
1814,寸,土,不,让,寸土必守，～，坚决守住阵地。（张震《英明的预见，正确的战役方针——回忆淮海战役》）,一寸土地也不让人。,cun,tu,bu,rang,cùn,tǔ,bù,ràng,
1815,寸,土,尺,地,我们是不能把～轻易地送给敌人的。（郭沫若《羽书集·抗战与觉悟》）,寸、尺：比喻很少。形容极少的土地。,cun,tu,chi,di,cùn,tǔ,chǐ,dì,
1816,寸,心,千,古,文章之事，～，可悲也夫。（明·李贽《杂说》）,千古：时间久远。寸心具有千古识力。,cun,xin,qian,gu,cùn,xīn,qiān,gǔ,唐·杜甫《偶题》：“文章千古事，得失寸心知。”
1817,寸,阴,尺,璧,,阴：日影，光阴；寸阴：指极断的时间。日影移动一寸的时间价值比径尺的璧玉还要珍贵。极言时间可贵。,cun,yin,chi,bi,cùn,yīn,chǐ,bì,《淮南子·原道训》：“故圣人不贵尺之璧，而重寸之阴，时间得而易失也。”
1818,寸,阴,若,岁,,岁：年。一刹那象过一年。形容非常殷切地期待和盼望。,cun,yin,ruo,sui,cùn,yīn,ruò,suì,《北史·韩禽传》：“班师凯入，诚知非远；想思之甚，寸阴若岁。”
1819,寸,阴,是,惜,,日影移动一寸的时间也应当爱惜。表示时间极其宝贵。,cun,yin,shi,xi,cùn,yīn,shì,xī,南朝·梁·周兴嗣《千文字》：“尺壁非宝，寸阴是竞。”
1820,寸,指,测,渊,,以一寸之指而测深渊。比喻浅学不能探明深理。,cun,zhi,ce,yuan,cùn,zhǐ,cè,yuān,《孔丛子·答问》：“子立尺表以度天，植寸指以测渊，蒙大道而不悟，信诬说以疑圣，殆非所望也。”
1821,寸,有,所,长,,寸比尺短，但用于更短处即显其长。比喻平平常常的人或事物，也会有他的长处。,cun,you,suo,chang,cùn,yǒu,suǒ,cháng,战国·楚·屈原《卜居》：“夫尺有所短，寸有所长。”
1822,蹉,跎,日,月,徒使度外之士，摈弃而不得骋，～而老将至矣。（宋·陈亮《上孝宗皇帝书》）,蹉跎：时光白白过去。把时光白白地耽误过去。指虚度光阴。,cuo,tuo,ri,yue,cuō,tuó,rì,yuè,晋·阮籍《咏怀》诗：“娱乐未终极，白日忽蹉跎。”
1823,蹉,跎,岁,月,倘我不能报复而死，埋没了龙家的豹韬，枉～一死鸿毛。（明·张凤翼《灌园记·君后授衣》）,蹉跎：时光白白过去。把时光白白地耽误过去。指虚度光阴。,cuo,tuo,sui,yue,cuō,tuó,suì,yuè,晋·阮籍《咏怀》诗：“娱乐未终极，白日忽蹉跎。”
1824,蹉,跎,自,误,,蹉跎：时间白白地消耗掉。人生虚度年华，耽误了自己的前程。,cuo,tuo,zi,wu,cuō,tuó,zì,wù,清·吴敬梓《儒林外史》第三十九回：“长兄年力鼎盛，万不可蹉跎自误 。”
1825,搓,手,顿,脚,县太爷急的～，叫了签稿，请了刑名师爷，大家斟酌，想不出一个法子。（清·李宝嘉《文明小史》第三十四回）,形容焦急不耐烦的样子。,cuo,shou,dun,jiao,cuō,shǒu,dùn,jiǎo,
1826,撮,土,焚,香,,撮土：用手把土聚拢成堆。指旧时迷信的人在野外撮土代替香炉，烧香敬神。,cuo,gu,fen,xiang,cuō,gǔ,fén,xiāng,明·吴承恩《西游记》第十四回：“三藏……急忙撮土焚香，望东恳恳礼拜。”
1827,撮,盐,入,火,为是他性急，～，为国家面上只要争气，当先厮杀，以此人都叫他做“急先锋”。（明·施耐庵《水浒全传》第十三回）,撮：以指取物。盐一放在火里就爆裂。比喻性情急躁。,cuo,yan,ru,huo,cuō,yán,rù,huǒ,元·王实甫《西厢记》三本二折：“待去呵，小姐性儿撮盐入火。”
1828,厝,火,积,薪,乃事过境迁，恬嬉如故，～之下，而寝处其上，酣歌恒舞，民怨沸腾，卒至鱼烂土崩，不可收拾。（蔡东藩、许廑父《民国通俗演义》）,厝：放置；薪：柴草。把火放到柴堆下面。比喻潜伏着很大危险。,cuo,huo,ji,xin,cuò,huǒ,jī,xīn,汉·贾谊《新书·数宁》：“夫抱火厝之积薪之下，而寝其上，火未及燃，因谓之安，偷安者也。”
1829,措,手,不,及,关公赤兔马快，早已跑到面前，颜良～，被云长手起一刀，刺于马下。（明·罗贯中《三国演义》第二十五回）,措手：着手处理。来不及动手应付。指事出意外，一时无法对付。,cuo,shou,bu,ji,cuò,shǒu,bù,jí,元·无名氏《千里独行》楔子：“咱今晚间，领着百十骑人马，偷营动寨，走一遭去，杀他个措手不及。”
1830,措,置,裕,如,在所谓国民党偏师说的的指导之下，使得反对第四次“围剿”丧失了～的能力的事实。（毛泽东《中国革命战争的战略问题》）,措置：处理，安排；裕如：从容不迫，很有办法的样子。处理事情从容不迫。常用来称赞人有办事的才能和经验。,cuo,zhi,yu,ru,cuò,zhì,yù,rú,清·刘坤一《提督因疾出缺请旨简放折》：“前署苏松、福山等镇篆务措置裕如，堪以很令署理。”
1831,错,彩,镂,金,,错：涂饰；镂：雕刻。形容诗文的词藻十分华丽。,cuo,cai,lou,jin,cuò,cǎi,lòu,jīn,南朝·梁·钟嵘《诗品》卷中：“谢诗如芙蓉出水，颜如错彩镂金。”
1832,错,落,不,齐,,形容极不整齐。,cuo,luo,bu,qi,cuò,luò,bù,qí,《晋书·卫恒传》：“纤波浓点，错落期间。”
1833,错,落,有,致,,错落：参差不齐。致：情趣。形容事物的布局虽然参差不齐，但却极有情趣，使人看了有好感。,cuo,luo,you,zhi,cuò,luò,yǒu,zhì,清·张集馨《道咸宦海见闻录》：“遍山皆青皮古松，不下数百株，太湖石亦高低错落有致，异鸟飞翔，哢音木杪，真蓬莱仙境也。”
1834,错,认,颜,标,,形容懵懂浅陋。,cuo,ren,yan,biao,cuò,rèn,yán,biāo,五代·王定保《唐摭言》卷八：“主司头脑太冬烘，错认颜标作鲁公。”
1835,错,综,复,杂,不管形式上怎样～，变化诡奇，实际上总有一个基本的道理贯串其间。（秦牧《河汊错综》）,错：交错，交叉；综：合在一起。形容头绪多，情况复杂。,cuo,zong,fu,za,cuò,zōng,fù,zá,《周易·系辞上》：“参伍以变，错综其数。”
1836,达,官,贵,人,,达官：大官。指地位高的大官和出身侯门身价显赫的人。,da,guan,gui,ren,dá,guān,guì,rén,《礼记·檀弓下》：“公子丧，诸达官之长杖。”
1837,达,官,显,宦,我所知道的是四十年前的绍兴，那里没有～，所以未闻有专门为（堂会？）的演剧。（鲁迅《且介亭杂文附集·女吊》）,达：显贵；宦：官。旧指职位高而声势显赫的官员。,da,guan,xian,huan,dá,guān,xiǎn,huàn,《礼记·檀弓下》：“诸达官之长杖。”
1838,达,官,知,命,～的思想，暂时引渡静离开了苦闷的荆棘。天快亮时，她也沉沉入睡了。（鲁迅《幻灭》十四）,达观：旧指一切听其自然，也指看得开。知命：旧指知天命，想念人的命运是由天决定的。指对不如意的事情看得开，任凭命运安排，无,da,guan,zhi,ming,dá,guān,zhī,mìng,
1839,达,权,知,变,,指不死守常规，根据实际情况，随机应变。,da,quan,zhi,bian,dá,quán,zhī,biàn,明·冯梦龙《醒世恒言》第十一卷：“主四方之事的，顶寇束带，谓之丈夫；出将入相，无所不为；须要博古通今，达权知变。”
1840,达,人,知,命,妾闻君子见几，～。（明·王世贞《鸣凤记·写本》）,达人：通达事理的人。指心胸豁达的人，安于命运。,da,ren,zhi,ming,dá,rén,zhī,mìng,唐·王勃《滕五阁序》：“君子安贫，达人知命。”
1841,怛,然,失,色,,怛：畏惧，恐惧。指因害怕而变脸色。,da,ran,shi,se,dá,rán,shī,sè,宋·苏洵《送石昌言舍人北使行》：“闻介马万骑驰过，剑槊相摩，终夜有声，人者怛然失色。”
1842,答,非,所,问,按照着次序一问一答，没有～的弊病，就算情意格外浓厚。（叶圣陶《隔膜》）,回答的不是所问的内容。,da,fei,suo,wen,dá,fēi,suǒ,wèn,
1843,打,抱,不,平,他遇到不公平的事总爱～。,遇见不公平的事，挺身而出，帮助受欺负的一方。,da,bao,bu,ping,dǎ,bào,bù,píng,清·曾朴《孽海花》第三十五回：“不瞒两位说，老汉平生，最喜欢劫副教授济贫抑强扶弱抱打不平。”
1844,打,草,惊,蛇,空自去“～”，倒吃他做了手脚，却是不好。（明·施耐庵《水浒全传》第二十九回）,原比喻惩甲菟乙。后多比喻做法不谨慎，反使对方有所戒备。,da,cao,jing,she,dǎ,cǎo,jīng,shé,明·郎瑛《七修类稿》卷二十四：“打草惊蛇，乃南唐王鲁为当涂令，日营资产，部人诉主簿贪污，鲁曰：‘汝虽打草，吾已惊蛇。’”
1845,打,成,一,片,扬弃知识阶级的绅士身分，提高大众的鉴赏水准，这样～，平民化，大众化。（朱自清《论通俗化》）,形容感情融洽，成为一体。,da,cheng,yi,pian,dǎ,chéng,yī,piàn,宋·释普济《五灯会元》卷十五：“老僧四十年方打成一片。”
1846,打,得,火,热,,形容十分亲密。,da,de,huo,re,dǎ,dé,huǒ,rè,
1847,打,凤,捞,龙,,凤、龙：这里指人才。比喻搜索、物色难得的人才。,da,feng,lao,long,dǎ,fèng,lāo,lóng,元·朱凯《昊天塔》第一折：“也不须打凤捞龙，别选元戎。”
1848,打,富,济,贫,（李自成）在商洛山中～，笼络人心，故山中军事机密不易探明。（姚雪垠《李自成》第二卷第二十二章）,打击豪绅、地主，贪官污吏，夺取其财物救济穷人。,da,fu,ji,pin,dǎ,fù,jì,pín,
1849,打,躬,作,揖,宝玉见他这样，还认作是昨日晌午的事，那知晚间的这件公案，还～的。（清·曹雪芹《红楼梦》第二十七回）,拱、揖：两手合抱致敬。弯身报拳行礼。表示恭敬顺从或恳求的样子。,da,gong,zuo,yi,dǎ,gōng,zuō,yī,
1850,打,狗,看,主,,狗有主人，打不打它，要看给其主人留不留情面。比喻处理坏人下事要顾全其后台的情面。,da,gou,kan,zhu,dǎ,gǒu,kàn,zhǔ,明·兰陵笑笑生《金瓶梅词话》第七十九回：“不知原来家中大小姐这等暴躁性子，就是打狗也看主人面。”
1851,打,家,劫,舍,近年泊内是宋江一伙强人在那里～，官兵捕盗，近他不得。（明·施耐庵《水浒全传》第六十回）,劫：强抢；舍：住房。指成帮结伙到人家里抢夺财物。,da,jia,jie,she,dǎ,jiā,jié,shè,元·武汉臣《玉壶春》第四折：“见俫子撅天扑地，不弱如打家劫舍杀人贼。”
1852,打,落,水,狗,至于“～”，则并不如此简单，当看狗之怎样，以及如何落水而定。（鲁迅《坟·论“费厄波赖”应该缓行》）,比喻继续打击已经失败的坏人。,da,luo,shui,gou,dǎ,luò,shuǐ,gǒu,
1853,打,马,虎,眼,他这是～，麻痹我们大伙儿，假充好人，想混过这一关去！（老舍《华实春秋》）,故意装糊涂蒙骗人。,da,ma,hu,yan,dǎ,mǎ,hu,yǎn,
1854,打,闷,葫,芦,（仙姑》恐泄漏天要，便掩了卷册，笑向宝玉道：“且随我去游玩奇景，何必在此～。”（清·曹雪芹《红楼梦》第五回）,闷葫芦：比喻难猜解而令人纳闷的话或事情。指猜测令人纳闷的话事事情。,da,men,hu,lu,dǎ,mèn,hú,lu,
1855,打,情,骂,俏,高兴起来，简直不分主仆，～的搅做一团。（清·曾朴《孽海花》第三十五回）,情：风情；俏：俏皮、风趣。指男女调情。,da,qing,ma,qiao,dǎ,qíng,mà,qiào,
1856,打,铁,趁,热,～，放火趁风，你们不等这时万人一心的功夫，调动他们还等什么！（骆宾基《胶东的暴民》）,比喻做事要抓紧时机，加速进行。,da,tie,chen,re,dǎ,tiě,chèn,rè,
1857,打,退,堂,鼓,我们做事一定要有恒心，不可以一遇到困难时，就～。,原指封建官吏退堂时打鼓。现在比喻跟人共同做事中途退缩。,da,tui,tang,gu,dǎ,tuì,táng,gǔ,元·关汉卿《窦娥冤》第二折：“左右，打散堂鼓，将马来，回私宅去也。”
1858,打,牙,犯,嘴,,比喻乱开玩笑。,da,ya,fan,zui,dǎ,yá,fàn,zuǐ,明·兰陵笑笑生《金瓶梅词话》第二十五回：“越发在人前花哨起来，常和众人打牙配嘴，全无忌惮。”
1859,打,牙,配,嘴,,指相互戏虐，闲扯说笑。,da,ya,pei,zui,dǎ,yá,pèi,zuǐ,明·兰陵笑笑生《金瓶梅词话》第二十三回：“（这妇人）常和从人打牙配嘴，全无忌惮。”
1860,大,败,亏,输,,打了败仗，损失很大。,da,bai,kui,shu,dà,bài,kuī,shū,明·施耐庵《水浒全传》第九十九回：“北军大败亏输，五千军马杀死大半，其余四散逃窜。”
1861,大,本,大,宗,,本：根本；宗：本，主旨。最根本，最重要的东西。,da,ben,da,zong,dà,běn,dà,zōng,《庄子·天道》：“夫明白于天地之德者，此之谓大本大宗，与天和者也。”
1862,大,笔,如,椽,,椽：放在檩子上架着屋顶的木条。象椽子那样大的笔。形容著名的文章。也指有名的作家。,da,bi,ru,chuan,dà,bǐ,rú,chuán,《晋书·王珣传》：“珣梦人以大笔如椽与之，既觉，语人曰：‘此当有大手笔事。’”
1863,大,辩,不,言,,大辩：善于辩论。有口才、善于辩论的人，并不多说话以显示自己。,da,bian,bu,yan,dà,biàn,bù,yán,《庄子·齐物论》：“大辩不言，大仁不仁。”
1864,大,辩,若,讷,,讷：语言迟钝，不善于讲话。真正有口才的人表面上好像嘴很笨。表示善辩的人发言持重，不露锋芒。,da,bian,ruo,ne,dà,biàn,ruò,nè,《老子》第四十五章：“大真若屈，大巧若拙，大辩若讷。”
1865,大,步,流,星,听到叫他名，他～地迈过去，把它牵上。（周立波《暴风骤雨》第二部二四）,形容步子跨得大，走得快。,da,bu,liu,xing,dǎ,bù,liú,xīng,
1866,大,才,槃,槃,,槃槃：形容大的样子。指有大才干的人。,da,cai,pan,pan,dà,cái,pán,pán,南朝·宋·刘义庆《世说新语·赏誉下》刘孝标注引《续晋阳秋》：“大才槃槃谢家安。”
1867,大,材,小,用,～古所叹，管仲萧何实流业。（宋·陆游《送辛幼安殿撰造朝》诗）,把大的材料当成小的材料用。比喻使用不当，浪费人才。,da,cai,xiao,yong,dà,cái,xiǎo,yòng,《后汉书·边让传》：“此言大器之于小用，固有所不宜也。”
1868,大,车,以,载,,大车材坚，能载重物。比喻人有大材，能够胜重任。,da,che,yi,zai,dà,chē,yǐ,zài,《易经·大有》：“大车以载，有攸往无咎。”
1869,大,彻,大,悟,这一回，得看你是不是～，决心离开下流社会，迈步走进上流社会了。（欧阳山《苦斗》四三）,彻：明白；悟：领会。形容彻底醒悟。,da,che,da,wu,dà,chè,dà,wù,清·刘鹗《老残游记续编》第四回：“到这时候，我仿佛大彻大悟了不是？”
1870,大,澈,大,悟,,彻：明白；悟：领会。形容彻底醒悟。,da,che,da,wu,dà,chè,dà,wù,清·刘鹗《老残游记续编》第四回：“到这时候，我仿佛大澈大悟了不是？”
1871,大,处,落,墨,你老哥也算得会用的了，真正阔手笔！看你不出，倒是个～的！（清·李宝嘉《官场现形记》第二十回）,落墨：落笔。原指画画或写文章要在主要部分下功夫。比喻做事从大处着眼。,da,chu,luo,mo,dà,chù,luò,mò,
1872,大,处,着,墨,,原指画画或写文章要在主要部分下功夫。比喻做事从大处着眼。,da,chu,zhuo,mo,dà,chù,zhuó,mò,
1873,大,处,着,眼,嘁嘁嚓嚓，招生是非，搬弄口舌，决不在～。（鲁迅《且介亭杂文末编·答徐懋庸并关于抗日统一战线问题》）,从大的方面观察、思考问题，抓住主要矛盾。,da,chu,zhuo,yan,dà,chù,zhuó,yǎn,
1874,大,吹,大,擂,真正有知识的人绝不会～。,许多乐器同时吹打。比喻大肆宣扬。,da,chui,da,lei,dà,chuī,dà,léi,元·王实甫《丽春堂》第四折：“赐你黄金千两，香酒百瓶，就在丽春堂大吹大擂，做一个庆喜的筵席。”
1875,大,吹,法,螺,,比喻空口说大话。,da,chui,fa,luo,dà,chuī,fǎ,luó,《金光明经·赞叹品》：“吹大法螺，击大法鼓，燃大法炬，雨胜法雨。”
1876,大,醇,小,疵,知其有醇乎醇者，有大醇而小疵者也。（清·陈澧《与周孟贻书》）,醇：纯正；疵：毛病。大体纯正，而略有缺点。,da,chun,xiao,ci,dà,chún,xiǎo,cī,唐·韩愈《读〈荀子〉》：“荀与扬，大醇而小疵。”
1877,大,慈,大,悲,万望长老收录，～，看赵某薄面，披剃为僧。（明·施耐庵《水浒全传》第四回）,慈：用爱护心给予众生以安乐；悲：用怜悯心解除众生的痛苦；慈悲：佛家语，救人苦难。形容人心肠慈善。,da,ci,da,bei,dà,cí,dà,bēi,《妙法莲花经·譬喻品》：“大慈大悲，常无懈倦，恒求善事，利益一切。”
1878,大,错,特,错,,完全错了。,da,cuo,te,cuo,dà,cuò,tè,cuò,
1879,大,打,出,手,有些人缺乏法律观念，为一点小事也能～。,打出手：戏曲中的一种武打技术，一出剧中的主要人物与多个对手相打，形成种种武打场面。比喻逞凶打人或殴斗。,da,da,chu,shou,dà,dǎ,chū,shǒu,
1880,大,大,落,落,不能～的，一定得认真负责，多向支部汇报，争取帮助。（李准《两代人》三）,形容态度大方。亦形容随随便便，满不在乎。,da,da,luo,luo,dà,dà,luò,luò,
1881,大,刀,阔,斧,世界上原有两种人：一种是～的人，一种是细针密线的人。（朱自清《山野掇拾》）,原指使用阔大的刀斧砍杀敌人。后比喻办事果断而有魄力。,da,dao,kuo,fu,dà,dāo,kuò,fǔ,明·施耐庵《水浒全传》第一百十八回：“当下催军劫寨，大刀阔斧，杀将进去。”
1882,大,得,人,心,,人心：即民心。指受百姓热烈拥护。,da,de,ren,xin,dà,dé,rén,xīn,《魏书·昭成子孙传》：“太祖命督屯田于河北，自五原至棝杨塞外，分家稼，大得人心。”
1883,大,敌,当,前,～，自然以收揽民心，合力御侮为顶要的事。（高阳《清宫外史》下册）,面对着强敌。形容形势严峻。,da,di,dang,qian,dà,dí,dāng,qián,
1884,大,地,回,春,阴历正月初三日立春，当时有～，万象更新之义，故诹吉于初四日。（蔡东藩、许廑父《民国通俗演义》第六十二回夹注）,指冬去春来，草木萌生，大地上出现一片生机景象。有时亦用比喻形势好转。,da,di,hui,chun,dà,dì,huí,chūn,
1885,大,动,干,戈,同学们应友好相处，不能为一些小事情而～。,大规模地进行战争。比喻大张声势地行事。,da,dong,gan,ge,dà,dòng,gān,gē,
1886,大,度,包,容,,形容气量大，能宽容人。,da,du,bao,rong,dà,dù,bāo,róng,
1887,大,而,化,之,,化：改变，转变。原指大行其道，使天下化之。后形容做事情不小心谨慎。,da,er,hua,zhi,dà,ér,huà,zhī,《孟子·尽心下》：“大而化之之谓圣。”
1888,大,而,无,当,订计划要切合实际，不要～。,当：底。虽然大，却无底。原指大得无边际。后多用作表示大得不切合实际、不合用。,da,er,wu,dang,dà,ér,wú,dàng,《庄子·逍遥游》：“肩吾问于连叔曰：‘吾闻言于接舆，大而无当，往而不返，吾惊怖其言，犹河汉而无极也。’”
1889,大,发,慈,悲,他说三天之内，照着祖爷爷的吩咐送过来。请祖爷爷～，代他们打点打点！（清·吴趼人《二十年目睹之怪现状》第九十二回）,比喻起善心，做好事。,da,fa,ci,bei,dà,fā,cí,bēi,
1890,大,发,雷,霆,不知说了一句甚么话，符老爷登时～起来，把那独脚桌子一掀。(清·吴趼人《二十年目睹之怪现状》第七十四回),霆：呼雷，喻震怒。比喻大发脾气，大声斥责。,da,fa,lei,ting,dà,fā,léi,tíng,《三国志·吴书·陆逊传》：“今不忍小忿而发雷霆之怒。”
1891,大,法,小,廉,,旧时指大臣尽忠，小臣尽职。,da,fa,xiao,lian,dà,fǎ,xiǎo,lián,《礼记·礼运》：“大臣法，小臣廉，官职相序，君臣相正，国之肥也。”
1892,大,方,之,家,故～，每不屑道焉。（清·梁启超《译印政治小说序》）,大方：大道理。原指懂得大道理的人。后泛指见识广博或学有专长的人。,da,fang,zhi,jia,dà,fāng,zhī,jiā,《庄子·秋水》：“吾长见笑于大方之家。”
1893,大,放,悲,声,少奶奶掩面大哭道：“只是我的天唷！”说着～。（清·吴趼人《二十年目睹之怪现状》第八十九回）,放声痛哭。形容非常伤心。,da,fang,bei,sheng,dà,fàng,bēi,shēng,
1894,大,放,厥,词,也许他认定我年轻无知，才毫无顾虑地在我面前～。（郭良蕙《焦点》十）,厥：其，他的；词：文辞，言辞。原指铺张词藻或畅所欲言。现用来指大发议论。,da,fang,jue,ci,dà,fàng,jué,cí,唐·韩愈《祭柳子厚文》：“玉佩琼琚，大放厥词。”
1895,大,风,大,浪,然而她到底是经过无数～的，深知躲避不了的烦恼，只有昂起头来硬顶。（高阳《母子君臣》）,指巨大的风浪。比喻社会的大动荡、大变化。也比喻尖锐、复杂、激烈、艰苦的斗争。,da,feng,da,lang,dà,fēng,dà,làng,
1896,大,腹,便,便,动物园里～的企鹅非常有趣。,便便：肥胖的样子。形容肥胖的样子。,da,fu,pian,pian,dà,fù,pián,pián,《后汉书·边韶传》：“边孝先，腹便便。”
1897,大,功,告,成,及～，天下已定，而后实行其共和主义之政策，恢复我完全之金瓯。（章炳麟《驳革命驳议》）,功：事业；告：宣告。指巨大工程或重要任务宣告完成。,da,gong,gao,cheng,dà,gōng,gào,chéng,《汉书·王莽传上》：“十万众并集，平作二旬，大功毕成。”
1898,大,公,无,私,要把你的志向拿定，而且要抱着一个光明磊落、～的心怀。（郭沫若《屈原》第一幕）,指办事公正，没有私心。现多指从集体利益出发，毫无个人打算。,da,gong,wu,si,dà,gōng,wú,sī,汉·马融《忠经·天地神明》：“忠者中也，至公无私。”
1899,大,海,捞,针,要打听前任巡检太爷家眷的下落，那真是～一般，问了半天，没有人知道的。（清·吴趼人《二十年目睹之怪现状》第一百七回）,在大海里捞一根针。比喻极难找到。,da,hai,lao,zhen,dà,hǎi,lāo,zhēn,元·柯丹丘《荆钗记·误讣》：“儿，此生休想同衾枕，要相逢除非东海捞针。”
1900,大,寒,索,裘,,等到大冷天才去找毛皮衣服。比喻平时没有准备，事到临头十分慌乱。,da,han,suo,qiu,dà,hán,suǒ,qiú,汉·扬雄《法言·寡见》：“大寒而后索认裘，不亦晚乎？”
1901,大,含,细,入,,原指文章的内容，既包涵天地的元气，又概括了极微小的事物。形容文章博大精深。,da,han,xi,ru,dà,hán,xì,rù,汉·扬雄《解嘲》：“大者含元气，细者入无间。”
1902,大,旱,云,霓,下泉蓍黍思王泽，～企说霖。（清·沈曾植《和缶翁元日韵》）,云霓：下雨的征兆。好象大旱的时候盼望寸水一样。比喻渴望解除困境。,da,han,yun,ni,dà,hàn,yún,ní,《孟子·梁惠王下》：“民望之，若大旱之望云霓也。”
1903,大,行,大,市,贵啥子？～的。（周克芹《许茂和他的女儿们》第五章）,指商品的一般市场价格。,da,hang,da,shi,dà,háng,dà,shì,
1904,大,好,河,山,……彼乃举其防家贼、媚异族之手段，送我～。（清·秋瑾《普告同胞檄,河山：国土。无限美好的祖国大地。,da,hao,he,shan,dà,hǎo,hé,shān,
1905,大,获,全,胜,,获：擒获俘虏，夺取敌方辎重；全：完全。形容获得完全的胜利。,da,huo,quan,sheng,dà,huò,quán,shèng,明·冯梦龙《古今小说·葛令公生遣弄珠儿》：“唐兵被梁家杀得七零八落，走得快的，逃了性命，略迟慢些，就成沙场之鬼……梁家大获全胜。”
1906,大,惑,不,解,母疑涉妄，然窥女无他，～。（清·蒲松龄《聊斋志异·土偶》）,感到非常迷惑，不能理解。,da,huo,bu,jie,dà,huò,bù,jiě,《庄子·天地》：“大惑者终身不解，大愚者终身不灵。”
1907,大,吉,大,利,,非常吉祥、顺利。旧时用于占卜和祝福。,da,ji,da,li,dà,jí,dà,lì,明·罗贯中《三国演义》第五十四回：“孔明曰：‘来意亮已知道了。适间卜《易》，得一大吉大利之兆。”
1908,大,计,小,用,,用于大事的计策，结果只用在小事情上。表示计策没有充分发挥作用。,da,ji,xiao,yong,dà,jì,xiǎo,yòng,明·罗贯中《三国演义》第九十七回：“孔明连夜驱兵，真出祁山前下寨，收住军兵，重赏姜维。维曰：‘某恨不得杀曹真也！’孔明亦曰：‘可惜大计小用矣。’”
1909,大,家,风,范,献茶已毕，叙起话来，问答如流，气度从容，真是～，把个狄后乐了个了不得。（清·石玉昆《三侠五义》第十八回）,大家：旧指有声望地位的高门贵族。风范：风度、气派。出自高贵人家特有的气派。,da,jia,feng,fan,dà,jiā,fēng,fàn,
1910,大,家,闺,秀,,旧指世家望族中有才德的女子。也泛指有钱有势人家的女儿。,da,jia,gui,xiu,dà,jiā,guī,xiù,南朝·宋·刘义庆《世说新语·贤媛》：“顾家妇清心玉映，自是闺房之秀。”
